persona,p,certain_reward,risky_reward,prob_choose_certain,count_total,count_certain,count_risky
doctor,0.01,5,1000,0.6,10,6,4
doctor,0.01,205,1000,1.0,10,10,0
doctor,0.01,405,1000,1.0,10,10,0
doctor,0.01,605,1000,1.0,10,10,0
doctor,0.01,805,1000,1.0,10,10,0
doctor,0.26,5,1000,0.2,10,2,8
doctor,0.26,205,1000,1.0,10,10,0
doctor,0.26,405,1000,1.0,10,10,0
doctor,0.26,605,1000,1.0,10,10,0
doctor,0.26,805,1000,1.0,10,10,0
doctor,0.51,5,1000,0.1,10,1,9
doctor,0.51,205,1000,0.6,10,6,4
doctor,0.51,405,1000,0.9,10,9,1
doctor,0.51,605,1000,1.0,10,10,0
doctor,0.51,805,1000,1.0,10,10,0
doctor,0.76,5,1000,0.2,10,2,8
doctor,0.76,205,1000,0.6,10,6,4
doctor,0.76,405,1000,0.6,10,6,4
doctor,0.76,605,1000,0.9,10,9,1
doctor,0.76,805,1000,1.0,10,10,0
family,0.01,5,1000,0.7,10,7,3
family,0.01,205,1000,1.0,10,10,0
family,0.01,405,1000,1.0,10,10,0
family,0.01,605,1000,1.0,10,10,0
family,0.01,805,1000,1.0,10,10,0
family,0.26,5,1000,0.3,10,3,7
family,0.26,205,1000,0.8,10,8,2
family,0.26,405,1000,1.0,10,10,0
family,0.26,605,1000,1.0,10,10,0
family,0.26,805,1000,1.0,10,10,0
family,0.51,5,1000,0.2,10,2,8
family,0.51,205,1000,0.7,10,7,3
family,0.51,405,1000,1.0,10,10,0
family,0.51,605,1000,1.0,10,10,0
family,0.51,805,1000,1.0,10,10,0
family,0.76,5,1000,0.1,10,1,9
family,0.76,205,1000,0.7,10,7,3
family,0.76,405,1000,0.7,10,7,3
family,0.76,605,1000,1.0,10,10,0
family,0.76,805,1000,0.9,10,9,1
patient,0.01,5,1000,0.6,10,6,4
patient,0.01,205,1000,1.0,10,10,0
patient,0.01,405,1000,1.0,10,10,0
patient,0.01,605,1000,1.0,10,10,0
patient,0.01,805,1000,1.0,10,10,0
patient,0.26,5,1000,0.3,10,3,7
patient,0.26,205,1000,1.0,10,10,0
patient,0.26,405,1000,1.0,10,10,0
patient,0.26,605,1000,1.0,10,10,0
patient,0.26,805,1000,1.0,10,10,0
patient,0.51,5,1000,0.3,10,3,7
patient,0.51,205,1000,0.6,10,6,4
patient,0.51,405,1000,0.7,10,7,3
patient,0.51,605,1000,1.0,10,10,0
patient,0.51,805,1000,1.0,10,10,0
patient,0.76,5,1000,0.1,10,1,9
patient,0.76,205,1000,0.7,10,7,3
patient,0.76,405,1000,0.5,10,5,5
patient,0.76,605,1000,0.7,10,7,3
patient,0.76,805,1000,1.0,10,10,0
